Position,Category,Brand,Colour,Product Name,Original Price,Current Price,Discount,Product Link,Main Image,Swatch Image 1,Swatch Image 2
1,Coats & Jackets,Boden,Navy,Durham Midi Coat,,£280.00,30% OFF WITH CODE T3B6,https://www.boden.co.uk/en-gb/durham-midi-coat-navy/sty-u0301-nav?cat=C1_S2_SH0052,https://www.bodenimages.com/productimages/r1aproductlarge/24wwin_u0301_nav_m01.jpg,https://www.bodenimages.com/productimages/r1asw/24wwin_u0301_grn_s.jpg,https://www.bodenimages.com/productimages/r1asw/24wwin_u0301_nav_s.jpg
2,Dresses,Boden,Green,Ivy Smocked Midi Dress,,£110.00,30% OFF WITH CODE T3B6,https://www.boden.co.uk/en-gb/ivy-smocked-midi-dress-rich-emerald-ornate-bud/sty-d1034-mgr?cat=C1_S2_SH0052,https://www.bodenimages.com/productimages/r1aproductlarge/24wwin_d1034_mgr_m01.jpg,https://www.bodenimages.com/productimages/r1asw/24waut_d1034_bbl_s.jpg,https://www.bodenimages.com/productimages/r1asw/24waut_d1034_mgr_s.jpg
3,Dresses,Boden,Navy,Rachel Knitted Shirt Dress,,£140.00,30% OFF WITH CODE T3B6,https://www.boden.co.uk/en-gb/rachel-knitted-shirt-dress-navy/sty-d1074-nav?cat=C1_S2_SH0052,https://www.bodenimages.com/productimages/r1aproductlarge/24wwin_d1074_nav_m01.jpg,https://www.bodenimages.com/productimages/r1asw/24wwin_d1074_grn_s.jpg,https://www.bodenimages.com/productimages/r1asw/24wwin_d1074_nav_s.jpg
4,Blazer,Boden,Navy,Marylebone Textured Blazer,,£160.00,30% OFF WITH CODE T3B6,https://www.boden.co.uk/en-gb/marylebone-textured-blazer-navy/sty-u0257-nav?cat=C1_S2_SH0052,https://www.bodenimages.com/productimages/r1aproductlarge/24wwin_u0257_nav_m01.jpg,https://www.bodenimages.com/productimages/r1asw/24wwin_u0257_dgr_s.jpg,https://www.bodenimages.com/productimages/r1asw/24wwin_u0257_nav_s.jpg
5,Skirts,Boden,Black,Isabella Taffeta Midi Skirt,,£85.00,30% OFF WITH CODE T3B6,https://www.boden.co.uk/en-gb/isabella-taffeta-midi-skirt-black/sty-r0621-blk?cat=C1_S2_SH0052,https://www.bodenimages.com/productimages/r1aproductlarge/24waut_r0621_blk_m01.jpg,https://www.bodenimages.com/productimages/r1asw/24waut_r0621_blk_s.jpg,https://www.bodenimages.com/productimages/r1asw/24wwin_r0621_nav_s.jpg
6,Skirts,Boden,Black,Isabella Tulle Midi Skirt,,£85.00,30% OFF WITH CODE T3B6,https://www.boden.co.uk/en-gb/isabella-tulle-midi-skirt-black/sty-r0678-blk?cat=C1_S2_SH0052,https://www.bodenimages.com/productimages/r1aproductlarge/24waut_r0678_blk_m01.jpg,https://www.bodenimages.com/productimages/r1asw/24waut_r0678_blk_s.jpg,https://www.bodenimages.com/productimages/r1asw/24waut_r0678_nav_s.jpg
7,Jumpsuits & Playsuits,Boden,Black,Clarissa Jumpsuit,,£145.00,30% OFF WITH CODE T3B6,https://www.boden.co.uk/en-gb/clarissa-jumpsuit-black/sty-d0973-blk?cat=C1_S2_SH0052,https://www.bodenimages.com/productimages/r1aproductlarge/24whsm_d0973_blk_m01.jpg,https://www.bodenimages.com/productimages/r1asw/24whsm_d0973_blk_s.jpg,https://www.bodenimages.com/productimages/r1asw/24wsum_d0973_nav_s.jpg
8,Dresses,Boden,Navy,Twisted Waist Jersey Dress,,£98.00,30% OFF WITH CODE T3B6,https://www.boden.co.uk/en-gb/twisted-waist-jersey-dress-navy-polka-wave/sty-d1040-nvy?cat=C1_S2_SH0052,https://www.bodenimages.com/productimages/r1aproductlarge/24wwin_d1040_nvy_m01.jpg,https://www.bodenimages.com/productimages/r1asw/24waut_d1040_blk_s.jpg,https://www.bodenimages.com/productimages/r1asw/24wwin_d1040_nvy_s.jpg
9,Coats & Jackets,Boden,Burgundy,Durham Wool Blend Coat,,£250.00,30% OFF WITH CODE T3B6,https://www.boden.co.uk/en-gb/durham-wool-blend-coat-cherry-jam/sty-u0184-pnk?cat=C1_S2_SH0052,https://www.bodenimages.com/productimages/r1aproductlarge/24wwin_u0184_pnk_m01.jpg,https://www.bodenimages.com/productimages/r1asw/24wwin_u0184_chk_s.jpg,https://www.bodenimages.com/productimages/r1asw/24waut_u0184_nvm_s.jpg
10,Coats & Jackets,Boden,Red,Chichester Textured Coat,,£220.00,30% OFF WITH CODE T3B6,https://www.boden.co.uk/en-gb/chichester-textured-coat-high-risk-red/sty-u0264-srd?cat=C1_S2_SH0052,https://www.bodenimages.com/productimages/r1aproductlarge/24wwin_u0264_srd_m01.jpg,https://www.bodenimages.com/productimages/r1asw/24wwin_u0264_lgr_s.jpg,https://www.bodenimages.com/productimages/r1asw/24wwin_u0264_nar_s.jpg
