Brand,Category,Colour,Main Image,Product Name,Product Link,Current Price,Original Price,Discount,Swatch Image 1,Swatch Image 2,,,,,,
Chi Chi London,Jumpsuits & Playsuits,Black,https://img-va.myshopline.com/image/store/1709554475197/ChiChi-109271.jpeg?w=1600&h=2400,Petite Bardot PU Jumpsuit in Black,https://www.chichiclothing.com/products/petite-bardot-pu-jumpsuit-in-black,£80.00,,,,,,,,,,petite bardot pu jumpsuit in black
Chi Chi London,Dresses,Burgundy,https://img-va.myshopline.com/image/store/1709554475197/EM5017PWI-42-HERO-2.jpg?w=913&h=1222,Petite Halter Neck Bodycon Faux Leather Midi Dress in Wine,https://www.chichiclothing.com/products/petite-halter-neck-bodycon-pu-midi-dress-in-wine,£33.60,£56.00,(40% OFF),,,,,,,,petite halter neck bodycon faux leather midi dress in wine
Chi Chi London,Dresses,White,https://img-va.myshopline.com/image/store/1709554475197/6bb0pwhi-49-2.jpg?w=896&h=1200,Petite Sweetheart Lace Bodycon Wedding Dress in White,https://www.chichiclothing.com/products/chi-chi-petite-bridal-maisie-dress,£210.00,,,,,,,,,,petite sweetheart lace bodycon wedding dress in white
Chi Chi London,Dresses,Green,https://img-va.myshopline.com/image/store/1709554475197/KH207PSG-85721HERO-2.jpg?w=913&h=1222,Petite Cut-Out Bow Back Maxi Dress in Sage,https://www.chichiclothing.com/products/petite-cut-out-bow-back-maxi-dress-in-sage,£67.20,£112.00,(40% OFF),https://www.chichiclothing.com/products/petite-cut-out-bow-back-maxi-dress-in-sage,https://www.chichiclothing.com/products/petite-cut-out-bow-back-maxi-dress-in-wine,,,,,,petite cut-out bow back maxi dress in sagehttps://www.chichiclothing.com/products/petite-cut-out-bow-back-maxi-dress-in-wine
Chi Chi London,Dresses,Cream,https://img-va.myshopline.com/image/store/1709554475197/53257PCH-17006-2.jpg?w=913&h=1222,Petite Satin Lace Insert Ruched Maxi Dress in Champagne,https://www.chichiclothing.com/products/petite-satin-cami-lace-insert-ruched-maxi-dress-in-champagne,£67.20,£112.00,(40% OFF),,,,,,,,petite satin lace insert ruched maxi dress in champagne
Chi Chi London,Dresses,Gray,https://img-va.myshopline.com/image/store/1709554475197/20420PSIL-31-2.jpg?w=913&h=1222,Petite One Shoulder Glitter Drape Mini Dress in Silver,https://www.chichiclothing.com/products/petite-one-shoulder-glitter-drape-midi-dress-in-silver,£31.20,£52.00,(40% OFF),,,,,,,,petite one shoulder glitter drape mini dress in silver
Chi Chi London,Dresses,Green,https://img-va.myshopline.com/image/store/1709554475197/1876GNN-2-2.jpg?w=913&h=1222,Petite One Shoulder Wrap Detail Midi Dress in Green,https://www.chichiclothing.com/products/petite-one-shoulder-wrap-detail-midi-dress-in-green,£49.80,£83.00,(40% OFF),,,,,,,,petite one shoulder wrap detail midi dress in green
Chi Chi London,Dresses,Blue,https://img-va.myshopline.com/image/store/1709554475197/KH213SG-33967-2.jpg?w=913&h=1222,Petite Halter Neck Satin Maxi Dress in Sage,https://www.chichiclothing.com/products/petite-halter-neck-satin-maxi-dress-in-sage,£15.00,£112.00,(86.6% OFF),https://www.chichiclothing.com/products/petite-halter-neck-satin-maxi-dress-in-sage,https://www.chichiclothing.com/products/halter-neck-satin-maxi-dress-in-navy,,,,,,petite halter neck satin maxi dress in sagehttps://www.chichiclothing.com/products/halter-neck-satin-maxi-dress-in-navy
Chi Chi London,Dresses,Red,https://img-va.myshopline.com/image/store/1709554475197/71277PMU-85571HERO-2.jpg?w=913&h=1222,Petite Halter Neck Floral Embroidered Bodycon Dress in Blue,https://www.chichiclothing.com/products/petite-halter-floral-embroidered-lace-bodycon-dress-in-blue,£10.00,£110.00,(90.9% OFF),,,,,,,,petite halter neck floral embroidered bodycon dress in blue
Chi Chi London,Dresses,Pink,https://img-va.myshopline.com/image/store/1709554475197/1877PPI-65900-2.jpg?w=913&h=1222,Petite Draped Slip Mini Dress in Pink,https://www.chichiclothing.com/products/petite-draped-slip-dress-in-pink,£15.00,£65.00,(76.92% OFF),,,,,,,,petite draped slip mini dress in pink
Chi Chi London,Skirts,Red,https://img-va.myshopline.com/image/store/1709554475197/53350SKPBER-85659HERO-2.jpg?w=913&h=1222,Petite Tiered Tulle Dip Hem Skirt in Purple,https://www.chichiclothing.com/products/petite-tiered-tulle-dip-hem-skirt-in-berry,£10.00,£68.00,(85.29% OFF),,,,,,,,petite tiered tulle dip hem skirt in purple
Chi Chi London,Dresses,Blue,https://img-va.myshopline.com/image/store/1709554475197/FA23106PNB-1-2.jpg?w=913&h=1222,Petite Puff Sleeve Ruffle Detail Floral Midi Dress in Navy,https://www.chichiclothing.com/products/petite-puff-sleeve-ruffle-detail-floral-midi-dress-in-navy,£25.00,£63.00,(60.31% OFF),,,,,,,,petite puff sleeve ruffle detail floral midi dress in navy
Chi Chi London,Dresses,Pink,https://img-va.myshopline.com/image/store/1709554475197/81048PMU-85199HERO-2.jpg?w=913&h=1222,Petite Cami Crossover Strap Swirl Print Maxi Dress in Pink,https://www.chichiclothing.com/products/petite-strappy-swirl-print-maxi-dress-in-multi,£10.00,£70.00,(85.71% OFF),,,,,,,,petite cami crossover strap swirl print maxi dress in pink
Chi Chi London,Dresses,Floral,https://img-va.myshopline.com/image/store/1709554475197/FA23102MU-15-e3d3507e-407e-433e-b08b-0d83cb7ba3d6-2.jpg?w=913&h=1222,Petite Puff Sleeve Lace Insert Floral Midi Dress in Multi,https://www.chichiclothing.com/products/petite-puff-sleeve-lace-insert-floral-midi-dress-in-multi,£32.50,£65.00,(50% OFF),,,,,,,,petite puff sleeve lace insert floral midi dress in multi
