Brand,Category,Colour,Product Link,Main Image,Product Name,Current Price,Original Price,Swatch Image 1,Swatch Image 2,Swatch Image 3
Dorothy Perkins,Leggings & Jeggings,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-skinny-ankle-grazer-jeggings_bqq14852?colour=black,https://mediahub.dorothyperkins.com/bqq14852_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Skinny Ankle Grazer Jeggings,£14.00,£20.00,https://mediahub.dorothyperkins.com/bqq14852_mid%20wash_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,https://mediahub.dorothyperkins.com/bqq14852_indigo_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,https://mediahub.dorothyperkins.com/bqq14852_black_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr
Dorothy Perkins,Dresses,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-pink-large-floral-ruffle-wrap-long-sleeve-mini-dress_bqq20140?colour=black,https://mediahub.debenhams.com/bqq20140_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Pink Large Floral Ruffle Wrap Long Sleeve Mini Dress,£14.00,£35.00,,,
Dorothy Perkins,Tops,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-keyhole-blouse_bqq19615?colour=black,https://mediahub.dorothyperkins.com/bqq19615_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Keyhole Blouse,£15.40,£22.00,,,
Dorothy Perkins,Dresses,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-jacquard-midi-shirt-dress_bqq19604?colour=black,https://mediahub.dorothyperkins.com/bqq19604_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Jacquard Midi Shirt Dress,£27.30,£39.00,,,
Dorothy Perkins,Jeans,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-comfort-stretch-skinny-jeans_bqq14693?colour=black,https://mediahub.debenhams.com/bqq14693_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Comfort Stretch Skinny Jeans,£25.00,,https://mediahub.debenhams.com/bqq14693_indigo_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,https://mediahub.debenhams.com/bqq14693_mid%20wash_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,https://mediahub.debenhams.com/bqq14693_black_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr
Dorothy Perkins,Knitwear,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-stripe-funnel-neck-button-cuff-longline-jumper_bqq17489?colour=black,https://mediahub.dorothyperkins.com/bqq17489_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Stripe Funnel Neck Button Cuff Longline Jumper,£10.80,£24.00,,,
Dorothy Perkins,Dresses,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-red-ditsy-floral-shirred-cuff-midi-dress_bqq19970?colour=black,https://mediahub.dorothyperkins.com/bqq19970_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Red Ditsy Floral Shirred Cuff Midi Dress,£17.50,£35.00,,,
Dorothy Perkins,Coats & Jackets,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-faux-leather-longline-aviator-jacket_bqq17958?colour=black,https://mediahub.debenhams.com/bqq17958_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Faux Leather Longline Aviator Jacket,£37.50,£75.00,https://mediahub.debenhams.com/bqq17958_taupe_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,https://mediahub.debenhams.com/bqq17958_brown_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,https://mediahub.debenhams.com/bqq17958_black_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr
Dorothy Perkins,Tops,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-pink-spot-scoop-neck-button-tea-blouse_bqq19074?colour=black,https://mediahub.dorothyperkins.com/bqq19074_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Pink Spot Scoop Neck Button Tea Blouse,£11.60,£29.00,,,
Dorothy Perkins,Dresses,Black,https://www.dorothyperkins.com/product/dorothy-perkins-dp-luxe-petite-black-embroidered-velvet-mini-dress_bqq19589?colour=black,https://mediahub.debenhams.com/bqq19589_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Dp Luxe Petite Black Embroidered Velvet Mini Dress,£60.00,£75.00,,,
Dorothy Perkins,Knitwear,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-pearl-embellished-jumper_bqq19232?colour=black,https://mediahub.debenhams.com/bqq19232_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Pearl Embellished Jumper,£24.75,£45.00,https://mediahub.debenhams.com/bqq19232_ivory_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,,https://mediahub.debenhams.com/bqq19232_black_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr
Dorothy Perkins,Jeans,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-comfort-stretch-slim-jeans_bqq14696?colour=black,https://mediahub.debenhams.com/bqq14696_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Comfort Stretch Slim Jeans,£17.50,£25.00,https://mediahub.debenhams.com/bqq14696_indigo_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,https://mediahub.debenhams.com/bqq14696_mid%20wash_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,https://mediahub.debenhams.com/bqq14696_black_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr
Dorothy Perkins,Coats & Jackets,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-short-aviator-jacket_bqq17961?colour=black,https://mediahub.debenhams.com/bqq17961_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Short Aviator Jacket,£30.00 - £33.75,£75.00,https://mediahub.debenhams.com/bqq17961_taupe_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,,https://mediahub.debenhams.com/bqq17961_black_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr
Dorothy Perkins,Dresses,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-satin-jacquard-empire-long-sleeve-midi-dress_bqq19625?colour=black,https://mediahub.debenhams.com/bqq19625_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Satin Jacquard Empire Long Sleeve Midi Dress,£44.00,£55.00,https://mediahub.debenhams.com/bqq19625_berry_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,,https://mediahub.debenhams.com/bqq19625_black_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr
Dorothy Perkins,Dresses,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-jacquard-ruffle-long-sleeve-mini-dress_bqq19473?colour=black,https://mediahub.debenhams.com/bqq19473_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Jacquard Ruffle Long Sleeve Mini Dress,£36.00,£45.00,,,
Dorothy Perkins,Dresses,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-ruched-velvet-sequin-mini-dress_bqq19193?colour=black,https://mediahub.debenhams.com/bqq19193_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Ruched Velvet Sequin Mini Dress,£36.00,£45.00,,,
Dorothy Perkins,Coats & Jackets,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-herringbone-stripe-wrap-coat_bqq17951?colour=black,https://mediahub.debenhams.com/bqq17951_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Herringbone Stripe Wrap Coat,£59.50,£85.00,,,
Dorothy Perkins,Trousers,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-slim-ankle-grazer-trouser_aqq04254?colour=black,https://mediahub.dorothyperkins.com/aqq04254_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Slim Ankle Grazer Trouser,£20.30,£29.00,,,
Dorothy Perkins,Dresses,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-satin-jacquard-wrap-mini-dress_bqq19617?colour=black,https://mediahub.dorothyperkins.com/bqq19617_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Satin Jacquard Wrap Mini Dress,£20.25,£45.00,https://mediahub.dorothyperkins.com/bqq19617_berry_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,,https://mediahub.dorothyperkins.com/bqq19617_black_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr
Dorothy Perkins,Dresses,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-khaki-spot-keyhole-mini-dress_bqq19795?colour=black,https://mediahub.dorothyperkins.com/bqq19795_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Khaki Spot Keyhole Mini Dress,£17.40,£29.00,,,
Dorothy Perkins,Jeans,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-wide-leg-seam-detail-jeans_bqq19719?colour=washed%20black,https://mediahub.dorothyperkins.com/bqq19719_washed%20black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Wide Leg Seam Detail Jeans,£28.00,£35.00,https://mediahub.dorothyperkins.com/bqq19719_dark%20blue_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,,https://mediahub.dorothyperkins.com/bqq19719_washed%20black_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr
Dorothy Perkins,Leggings & Jeggings,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-red-floral-puff-sleeve-fit-and-flare-mini-dress_bqq15023?colour=black,https://mediahub.debenhams.com/bqq15023_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Red Floral Puff Sleeve Fit And Flare Mini Dress,£29.00,,,,
Dorothy Perkins,Knitwear,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-patchwork-fairisle-crew-neck-jumper_bqq20243?colour=black,https://mediahub.debenhams.com/bqq20243_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Patchwork Fairisle Crew Neck Jumper,£23.40,£39.00,https://mediahub.debenhams.com/bqq20243_ivory_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,,https://mediahub.debenhams.com/bqq20243_black_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr
Dorothy Perkins,Coats & Jackets,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-self-covered-button-quilted-padded-puffer-midi-coat_bqq17965?colour=black,https://mediahub.dorothyperkins.com/bqq17965_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Self Covered Button Quilted Padded Puffer Midi Coat,£42.50,£85.00,,,
Dorothy Perkins,Dresses,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-pink-large-floral-tie-front-ruffle-bust-long-sleeve-midi-dress_bqq20142?colour=black,https://mediahub.dorothyperkins.com/bqq20142_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Pink Large Floral Tie Front Ruffle Bust Long Sleeve Midi Dress,£17.55,£39.00,,,
Dorothy Perkins,Dresses,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-spot-button-front-long-sleeve-midi-dress_bqq19808?colour=black,https://mediahub.debenhams.com/bqq19808_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Spot Button Front Long Sleeve Midi Dress,£15.75,£45.00,,,
Dorothy Perkins,Dresses,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-red-floral-ruched-front-long-sleeve-midi-dress_bqq19718?colour=black,https://mediahub.dorothyperkins.com/bqq19718_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Red Floral Ruched Front Long Sleeve Midi Dress,£15.75,£35.00,,,
Dorothy Perkins,Dresses,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-red-spot-keyhole-midi-dress_bqq19321?colour=black,https://mediahub.dorothyperkins.com/bqq19321_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Red Spot Keyhole Midi Dress,£21.00,£35.00,,,
Dorothy Perkins,Tops,Black,https://www.dorothyperkins.com/product/dorothy-perkins-tall-khaki-spot-keyhole-long-sleeve-wrap-top_bqq19789?colour=black,https://mediahub.dorothyperkins.com/bqq19789_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Tall Khaki Spot Keyhole Long Sleeve Wrap Top,£12.50,£25.00,,,
Dorothy Perkins,Tops,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-spot-shoulder-detail-shirred-hem-blouse_bqq19810?colour=black,https://mediahub.dorothyperkins.com/bqq19810_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Spot Shoulder Detail Shirred Hem Blouse,£14.50,£29.00,,,
Dorothy Perkins,Dresses,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-ochre-ditsy-tie-front-shirred-cuff-midi-dress_bqq19137?colour=black,https://mediahub.dorothyperkins.com/bqq19137_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Ochre Ditsy Tie Front Shirred Cuff Midi Dress,£17.55,£39.00,,,
Dorothy Perkins,Dresses,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-spot-button-front-tiered-long-sleeve-mini-dress_bqq19809?colour=black,https://mediahub.dorothyperkins.com/bqq19809_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Spot Button Front Tiered Long Sleeve Mini Dress,£13.65,£39.00,,,
Dorothy Perkins,Dresses,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-khaki-floral-keyhole-midi-dress_bqq19320?colour=black,https://mediahub.dorothyperkins.com/bqq19320_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Khaki Floral Keyhole Midi Dress,£21.00,£35.00,,,
Dorothy Perkins,Trousers,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-split-detail-ponte-trouser_bqq20102?colour=black,https://mediahub.debenhams.com/bqq20102_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Split Detail Ponte Trouser,£17.40,£29.00,,,
Dorothy Perkins,Dresses,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-bengaline-mini-dress_bqq16664?colour=black,https://mediahub.debenhams.com/bqq16664_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Bengaline Mini Dress,£14.50,£29.00,https://mediahub.debenhams.com/bqq16664_grey_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,,https://mediahub.debenhams.com/bqq16664_black_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr
Dorothy Perkins,Coats & Jackets,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-oversized-double-breasted-coat_bqq17272?colour=black,https://mediahub.debenhams.com/bqq17272_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Oversized Double Breasted Coat,£68.00,£85.00,https://mediahub.debenhams.com/bqq17272_berry_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,,https://mediahub.debenhams.com/bqq17272_black_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr
Dorothy Perkins,Coats & Jackets,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-fur-tab-coat_bqq17945?colour=black,https://mediahub.debenhams.com/bqq17945_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Fur Tab Coat,£34.00,£85.00,,,
Dorothy Perkins,Dresses,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-black-long-sleeve-wrap-midi-dress_bqq08696?colour=black,https://mediahub.debenhams.com/bqq08696_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Black Long Sleeve Wrap Midi Dress,£24.00,£48.00,,,
Dorothy Perkins,Coats & Jackets,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-faux-leather-biker-jacket_bqq07399?colour=black,https://mediahub.debenhams.com/bqq07399_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Faux Leather Biker Jacket,£23.60,£59.00,,,
Dorothy Perkins,Jeans,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-skinny-ankle-grazer-jeans_bqq12756?colour=black,https://mediahub.dorothyperkins.com/bqq12756_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Skinny Ankle Grazer Jeans,£15.00,£25.00,https://mediahub.dorothyperkins.com/bqq12756_mid%20wash_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,https://mediahub.dorothyperkins.com/bqq12756_indigo_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,https://mediahub.dorothyperkins.com/bqq12756_black_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr
Dorothy Perkins,Coats & Jackets,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-single-breasted-coat_bqq17263?colour=black,https://mediahub.debenhams.com/bqq17263_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Single Breasted Coat,£68.00,£85.00,https://mediahub.debenhams.com/bqq17263_khaki_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,,https://mediahub.debenhams.com/bqq17263_black_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr
Dorothy Perkins,Dresses,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-spot-mini-dress_bqq13507?colour=black,https://mediahub.debenhams.com/bqq13507_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Spot Mini Dress,£14.00,£28.00,,,
Dorothy Perkins,Tops,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-sequin-t-shirt_bqq19194?colour=black,https://mediahub.debenhams.com/bqq19194_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Sequin T-shirt,£23.20,£29.00,https://mediahub.debenhams.com/bqq19194_green_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,,https://mediahub.debenhams.com/bqq19194_black_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr
Dorothy Perkins,Jeans,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-coated-skinny-jean_bqq14799?colour=black,https://mediahub.debenhams.com/bqq14799_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Coated Skinny Jean,£25.60,£32.00,,,
Dorothy Perkins,Trousers,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-pull-on-wide-leg-trouser_bqq15744?colour=black,https://mediahub.debenhams.com/bqq15744_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Pull On Wide Leg Trouser,£14.50,£29.00,https://mediahub.debenhams.com/bqq15744_navy_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,,https://mediahub.debenhams.com/bqq15744_black_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr
Dorothy Perkins,Knitwear,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-crew-neck-button-cuff-jumper_bqq17490?colour=black,https://mediahub.debenhams.com/bqq17490_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Crew Neck Button Cuff Jumper,£14.40,£24.00,https://mediahub.debenhams.com/bqq17490_camel_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,https://mediahub.debenhams.com/bqq17490_pink_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,https://mediahub.debenhams.com/bqq17490_black_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr
Dorothy Perkins,Coats & Jackets,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-gold-trim-maxi-coat_bqq17956?colour=black,https://mediahub.dorothyperkins.com/bqq17956_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Gold Trim Maxi Coat,£51.00,£85.00,,,
Dorothy Perkins,Coats & Jackets,Black,https://www.dorothyperkins.com/product/dorothy-perkins-petite-longline-belted-coat_bqq11638?colour=black,https://mediahub.debenhams.com/bqq11638_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Longline Belted Coat,£72.00,£90.00,https://mediahub.debenhams.com/bqq11638_pink_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,,https://mediahub.debenhams.com/bqq11638_black_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr
