Brand,Category,Colour,Product Link,Main Image,Product Name,Current Price,Original Price
Forever New,Dresses,Black,https://www.forevernew.co.uk/layton-petite-heatseal-maxi-290988?colour=black,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_29098802_F5_1.jpg?auto=webp&width=520,Layton Petite Heatseal Maxi,£110.00,
Forever New,Jumpsuits & Playsuits,Black,https://www.forevernew.co.uk/lea-petite-off-shoulder-jumpsuit-291281?colour=black,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_29128101_F1.jpg?auto=webp&width=520,Lea Petite Off-Shoulder Jumpsuit,£120.00,
Forever New,Dresses,Black,https://www.forevernew.co.uk/simone-petite-bow-back-mini-292043?colour=black,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_29204304_S.jpg?auto=webp&width=520,Simone Petite Bow-Back Mini Dress,£110.00,
Forever New,Dresses,Black,https://www.forevernew.co.uk/cassidy-petite-one-shoulder-plisse-midi-291205?colour=black-gold,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_29120501_F.jpg?auto=webp&width=520,Cassidy Petite One-Shoulder Midi Dress,£97.50,£130.00
Forever New,Dresses,Black,https://www.forevernew.co.uk/284256-284256?colour=black,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_28425607_S.jpg?auto=webp&width=520,Selena Petite Ruffle Maxi,£110.00,
Forever New,Jumpsuits & Playsuits,Black,https://www.forevernew.co.uk/cora-petite-corset-bodice-jumpsuit-291893?colour=black,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_29189302_F.jpg?auto=webp&width=520,Cora Petite Jumpsuit,£120.00,
Forever New,Coats & Jackets,Black,https://www.forevernew.co.uk/shelley-petite-db-coatigan-284310?colour=black,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_28431004_F2.jpg?auto=webp&width=520,Shelley Petite Double-Breasted Coatigan,£95.00,
Forever New,Dresses,Black,https://www.forevernew.co.uk/rebecca-petite-off-shoulder-velvet-gown-291202?colour=black,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_29120201_F.jpg?auto=webp&width=520,Rebecca Petite Off-Shoulder Velvet Gown,£112.50,£150.00
Forever New,Dresses,Black,https://www.forevernew.co.uk/nellie-petite-bow-back-mini-289576?colour=black,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_28957602_F.jpg?auto=webp&width=520,Ellie Petite Bow-Back Mini Dress,£110.00,
Forever New,Dresses,Black,https://www.forevernew.co.uk/carmel-petite-embellished-slip-maxi-290984?colour=black,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_29098401_F.jpg?auto=webp&width=520,Carmel Petite Embellished Slip Maxi Dress,£120.00,
Forever New,Trousers,Black,https://www.forevernew.co.uk/freya-petite-high-waist-wide-leg-pant-288367?colour=black,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_28836701_F.jpg?auto=webp&width=520,Freya Petite High-Waisted Wide-Leg Trousers,£60.00,
Forever New,Dresses,Black,https://www.forevernew.co.uk/ciara-petite-tipped-midi-dress-288386?colour=black,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_28838603_F.jpg?auto=webp&width=520,Ciara Petite Off-Shoulder Midi Dress,£95.00,
Forever New,Coats & Jackets,Black,https://www.forevernew.co.uk/belle-petite-faux-fur-aviator-289972?colour=black,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_28997201_F2.jpg?auto=webp&width=520,Belle Petite Faux-Fur Aviator Jacket,£130.00,
Forever New,Coats & Jackets,Black,https://www.forevernew.co.uk/priya-petite-wrap-coat-284246?colour=black,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_28424603_F1.jpg?auto=webp&width=520,Priya Petite Wrap Coat,£140.00,
Forever New,Tops,Black,https://www.forevernew.co.uk/minnie-petite-wrap-shirt-289559?colour=black,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_28955901_F.jpg?auto=webp&width=520,Minnie Petite Wrap Shirt,£50.00,
Forever New,Dresses,Black,https://www.forevernew.co.uk/carmen-petite-velvet-satin-slip-dress-290018?colour=black,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_29001808_F.jpg?auto=webp&width=520,Carmen Petite Velvet Satin Slip Dress,£100.00,
Forever New,Dresses,Blue,https://www.forevernew.co.uk/phillipa-petite-pleated-midi-dress-282286?colour=sapphire-ombre,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_28228602_F.jpg?auto=webp&width=520,Phillipa Petite Pleated Midi Dress,£115.00,
Forever New,Dresses,Blue,https://www.forevernew.co.uk/roxanna-petite-hanky-hem-belted-dress-291280?colour=dress-blues,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_29128001_F.jpg?auto=webp&width=520,Roxanna Petite Hanky Hem Belted Dress,£100.00,
Forever New,Dresses,Blue,https://www.forevernew.co.uk/gisele-petite-ombre-plisse-maxi-289572?colour=ocean-ombre,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_28957206_F.jpg?auto=webp&width=520,Gisele Petite Ombre Plisse Maxi Dress,£150.00,
Forever New,Dresses,Blue,https://www.forevernew.co.uk/nya-petite-metallic-asym-maxi-289573?colour=danish-blue,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_28957302_F.jpg?auto=webp&width=520,Nya Petite Metallic Asymmetrical Maxi Dress,£150.00,
Forever New,Jeans,Blue,https://www.forevernew.co.uk/eloise-petite-classic-bootcut-jean-288325?colour=dark-wash,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_28832501_F.jpg?auto=webp&width=520,Eloise Petite Classic Bootcut Jeans,£60.00,
Forever New,Dresses,Blue,https://www.forevernew.co.uk/chloe-petite-pleated-midi-dress-289766?colour=deep-navy,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_28976602_F5.jpg?auto=webp&width=520,Chloe Petite Pleated Dress,£120.00,
Forever New,Dresses,Blue,https://www.forevernew.co.uk/kelly-petite-one-shoulder-maxi-281380?colour=navy,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_28138005_F.jpg?auto=webp&width=520,Kelly Petite One-Shoulder Maxi Dress,£110.00,
Forever New,Dresses,Blue,https://www.forevernew.co.uk/lucy-petite-satin-cowl-maxi-288469?colour=deep-navy,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_28846906_F.jpg?auto=webp&width=520,Lucy Petite Satin Cowl Maxi Dress,£120.00,
Forever New,Dresses,Blue,https://www.forevernew.co.uk/286044-286044?colour=navy,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_28504404_S_1.jpg?auto=webp&width=520,Cameron Petite V-Neck Satin Maxi Dress,£110.00,
Forever New,Dresses,Blue,https://www.forevernew.co.uk/mia-petite-boat-neck-satin-maxi-286046?colour=navy,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_28604602_F.jpg?auto=webp&width=520,Mia Petite Satin Maxi Dress,£110.00,
Forever New,Dresses,Blue,https://www.forevernew.co.uk/gabbie-petite-button-midi-288983?colour=navy,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_28898302_F.jpg?auto=webp&width=520,Gabbie Petite Button-Down Midi Dress,£100.00,
Forever New,Dresses,Blue,https://www.forevernew.co.uk/carolina-petite-satin-midi-dress-276302?colour=navy,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_27630206_F.jpg?auto=webp&width=520,Carolina Petite Satin Midi Dress,£110.00,
Forever New,Dresses,Brown,https://www.forevernew.co.uk/lucie-long-sleeved-petite-cord-mini-288193?colour=oak-tree,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_28819304_F.jpg?auto=webp&width=520,Lucie Petite Long-Sleeve Cord Mini Dress,£85.00,
Forever New,Coats & Jackets,Brown,https://www.forevernew.co.uk/payton-petite-soft-trench-285948?colour=camel,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_28594804_F2.jpg?auto=webp&width=520,Payton Petite Soft Trench Coat,£115.00,
