Position,Category,Brand,Colour,Main Image,Product Name,Product Link,Current Price,Original Price,Discount
1,Leggings & Jeggings,Lovall,Black,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/W_BLACK_WINTERLEGGINGS_S8_AW23_4_1_710x.jpg?v=1706794992,WINTER EVERYDAY HIGH WAISTED LEGGINGS,https://lovall.com/products/winter-everyday-high-waisted-leggings-black,£27,£30,10% OFF
2,Leggings & Jeggings,Lovall,Black,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/EVERYDAY_BLACK_241022_57493_710x.jpg?v=1730735272,EVERYDAY HIGH WAISTED LEGGINGS,https://lovall.com/products/everyday-high-waisted-leggings-black,£23.40,£26,10% OFF
3,Leggings & Jeggings,Lovall,Black,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_1_45236_710x.jpg?v=1727095365,WINTER FLARE LEGGINGS,https://lovall.com/products/winter-flare-leggings-black,£29.70,£33,10% OFF
4,Leggings & Jeggings,Lovall,Brown,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/W_BLACK_WINTERLEGGINGS_S8_AW23_4_710x.jpg?v=1706795638,WINTER EVERYDAY HIGH WAISTED LEGGINGS,https://lovall.com/products/winter-everyday-high-waisted-leggings-espresso-brown,£27,£30,10% OFF
5,Leggings & Jeggings,Lovall,Burgundy,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/W_BURGUNDY_WINTERLEGGINGS_S8_AW23_6_710x.jpg?v=1706795198,WINTER EVERYDAY HIGH WAISTED LEGGINGS,https://lovall.com/products/winter-everyday-high-waisted-leggings-burgundy,£27,£30,10% OFF
6,Leggings & Jeggings,Lovall,Brown,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_27_10286_710x.jpg?v=1727184803,WINTER EVERYDAY HIGH WAISTED LEGGINGS,https://lovall.com/products/winter-everyday-high-waisted-leggings-black-coffee,£27,£30,10% OFF
7,Leggings & Jeggings,Lovall,Black,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/EXTREME_FLEECE_BLACK_MARG_4382_710x.jpg?v=1698851187,EXTREME FLEECE LINED LEGGINGS,https://lovall.com/products/extreme-fleece-lined-leggings-black,£32.40,£36,10% OFF
8,Trousers,Lovall,Black,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/082_LEATHER_TROUSERS_BLACK_S8_007_710x.jpg?v=1683022606,LEATHER LOOK TROUSERS,https://lovall.com/products/leather-look-trousers-black,£7.50,£30,75% OFF
9,Leggings & Jeggings,Lovall,Black,https://cdn.shopify.com/s/files/1/0014/0306/0312/products/W_Black_EnergiseFullLengthSportsLeggings_1_710x.jpg?v=1654874313,ENERGISE HIGH WAISTED GYM LEGGINGS,https://lovall.com/products/energise-high-waisted-gym-leggings-midnight-black,£21.60,£36,40% OFF
10,Leggings & Jeggings,Lovall,Black,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/LOOK_1_030138_710x.jpg?v=1712581124,LIGHTWEIGHT EVERYDAY HIGH WAISTED LEGGINGS,https://lovall.com/products/lightweight-everyday-high-waisted-leggings-black,£25.20,£28,10% OFF
11,Leggings & Jeggings,Lovall,Green,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/WINTER_KHAKI_GRACE_2700_85a4bce4-1630-4758-aba3-d6cb48969822_710x.jpg?v=1730129748,WINTER EVERYDAY HIGH WAISTED LEGGINGS,https://lovall.com/products/winter-everyday-high-waisted-leggings-deep-olive,£27,£30,10% OFF
12,Leggings & Jeggings,Lovall,Blue,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/WINTER_NAVY_GRACE_4775_710x.jpg?v=1706795746,WINTER EVERYDAY HIGH WAISTED LEGGINGS,https://lovall.com/products/winter-everyday-high-waisted-leggings-navy,£27,£30,10% OFF
13,Jeans,Lovall,Blue,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/03_LIFT_AND_SHAPE_JEAN_DARKBLUE_141_710x.jpg?v=1687339208,LIFT & SHAPE JEANS,https://lovall.com/products/lift-shape-jeans-dark-blue,£38.25,£45,15% OFF
14,Leggings & Jeggings,Lovall,Blue,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/W_VINTAGENAVY_WINTERLEGGINGS_S8_AW23_4_1_710x.jpg?v=1696940224,WINTER EVERYDAY HIGH WAISTED LEGGINGS,https://lovall.com/products/winter-everyday-high-waisted-leggings-vintage-navy,£27,£30,10% OFF
15,Nightwear & Loungewear,Lovall,Red,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/EVERYDAY_LUX_LOUNGE_BURGUNDY_241022_39484_710x.jpg?v=1730800130,LUXE LOUNGE JOGGER,https://lovall.com/products/luxe-lounge-jogger-dark-cherry,£26.25,£35,25% OFF
16,Jeans,Lovall,Black,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/034_LIFT_AND_SHAPE_BLACK_020_710x.jpg?v=1686045991,LIFT & SHAPE JEANS,https://lovall.com/products/lift-shape-jeans-black,£38.25,£45,15% OFF
17,Leggings & Jeggings,Lovall,Gray,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/WINTER_DARK_GREY_MARG_3934_710x.jpg?v=1706795330,WINTER EVERYDAY HIGH WAISTED LEGGINGS,https://lovall.com/products/winter-everyday-high-waisted-leggings-dark-grey,£27,£30,10% OFF
18,Leggings & Jeggings,Lovall,Green,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/WINTER_FOREST_MARG_3293_710x.jpg?v=1696323931,WINTER EVERYDAY HIGH WAISTED LEGGINGS,https://lovall.com/products/winter-everyday-high-waisted-leggings-deep-forest,£27,£30,10% OFF
19,Leggings & Jeggings,Lovall,Blue,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/EVERYDAY_NAVY_241022_37618_710x.jpg?v=1730806886,EVERYDAY HIGH WAISTED LEGGINGS,https://lovall.com/products/everyday-high-waisted-leggings-navy-blue,£23.40,£26,10% OFF
20,Leggings & Jeggings,Lovall,Blue,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_14_8410_710x.jpg?v=1727172023,WINTER FLARE LEGGINGS,https://lovall.com/products/winter-flare-leggings-vintage-navy,£29.70,£33,10% OFF
21,Leggings & Jeggings,Lovall,Gray,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/WINTER_STONE_GRACE_3149_710x.jpg?v=1706795814,WINTER EVERYDAY HIGH WAISTED LEGGINGS,https://lovall.com/products/winter-everyday-high-waisted-leggings-stone,£27,£30,10% OFF
22,Leggings & Jeggings,Lovall,Green,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_16_8573_710x.jpg?v=1727164375,WINTER FLARE LEGGINGS,https://lovall.com/products/winter-flare-leggings-deep-olive,£29.70,£33,10% OFF
