Brand,Category,Colour,Product Link,Main Image,Product Name,Colour,Current Price,Original Price
Lovall,Leggings & Jeggings,Black,https://lovall.com/products/everyday-high-waisted-leggings-black,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/EVERYDAY_BLACK_241022_57493_710x.jpg?v=1730735272,EVERYDAY HIGH WAISTED LEGGINGS,Black,£28,
Lovall,Leggings & Jeggings,Black,https://lovall.com/products/winter-everyday-high-waisted-leggings-black,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/W_BLACK_WINTERLEGGINGS_S8_AW23_4_1_710x.jpg?v=1706794992,WINTER EVERYDAY HIGH WAISTED LEGGINGS,Black,£32,
Lovall,Leggings & Jeggings,Black,https://lovall.com/products/energise-high-waisted-gym-leggings-midnight-black,https://cdn.shopify.com/s/files/1/0014/0306/0312/products/W_Black_EnergiseFullLengthSportsLeggings_1_710x.jpg?v=1654874313,ENERGISE HIGH WAISTED GYM LEGGINGS,Midnight Black,£27,£36
Lovall,Nightwear & Loungewear,Brown,https://lovall.com/products/all-szn-organic-wide-leg-jogger-black-coffee,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_26_10175_710x.jpg?v=1727258982,ALL SZN ORGANIC WIDE LEG JOGGER,Black Coffee,£45,
Lovall,Leggings & Jeggings,Black,https://lovall.com/products/lightweight-everyday-high-waisted-leggings-black,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/LOOK_1_030138_710x.jpg?v=1712581124,LIGHTWEIGHT EVERYDAY HIGH WAISTED LEGGINGS,Black,£28,
Lovall,Leggings & Jeggings,"Khaki, Green",https://lovall.com/products/everyday-high-waisted-leggings-khaki-green,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/W_EverydayHighWaistedLeggings_KhakiGreen_S8_1_710x.jpg?v=1712592378,EVERYDAY HIGH WAISTED LEGGINGS,Khaki Green,£28,
Lovall,Leggings & Jeggings,Gray,https://lovall.com/products/everyday-high-waisted-leggings-odyssey-grey,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/EVERYDAY_ODY_241022_57787_710x.jpg?v=1730807494,EVERYDAY HIGH WAISTED LEGGINGS,Odyssey Grey,£28,
Lovall,Leggings & Jeggings,Blue,https://lovall.com/products/everyday-high-waisted-leggings-navy-blue,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/EVERYDAY_NAVY_241022_37618_710x.jpg?v=1730806886,EVERYDAY HIGH WAISTED LEGGINGS,Navy Blue,£28,
Lovall,Leggings & Jeggings,Burgundy,https://lovall.com/products/everyday-high-waisted-leggings-burgundy,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/EVERYDAY_BURGUNDY_241022_37967_710x.jpg?v=1730735864,EVERYDAY HIGH WAISTED LEGGINGS,Burgundy,£28,
Lovall,Leggings & Jeggings,Brown,https://lovall.com/products/everyday-high-waisted-leggings-chocolate-brown,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/EVERYDAY_CHOCOLATE_BROWN_241022_38197_710x.jpg?v=1730736574,EVERYDAY HIGH WAISTED LEGGINGS,Chocolate Brown,£28,
Lovall,Leggings & Jeggings,Black,https://lovall.com/products/extreme-fleece-lined-leggings-black,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/EXTREME_FLEECE_BLACK_MARG_4382_710x.jpg?v=1698851187,EXTREME FLEECE LINED LEGGINGS,Black,£32.40,£36
Lovall,Leggings & Jeggings,"Khaki, Green",https://lovall.com/products/winter-everyday-high-waisted-leggings-slate-green,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_29_10680_710x.jpg?v=1727185206,WINTER EVERYDAY HIGH WAISTED LEGGINGS,Slate Green,£28.80,£32
Lovall,Leggings & Jeggings,Blue,https://lovall.com/products/ultimate-jeggings-dark-blue,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/05_NEW_JEGGING_DARKBLUE_021_c20de99e-2092-447e-82ef-d2b021d238d3_710x.jpg?v=1683895937,ULTIMATE JEGGINGS,Dark Blue,£36,
Lovall,Leggings & Jeggings,Black,https://lovall.com/products/empower-leggings-black,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_13_DANI_1046_710x.jpg?v=1704272806,EMPOWER LEGGINGS,Black,£40.50,£45
Lovall,Leggings & Jeggings,Blue,https://lovall.com/products/treggings-navy,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/EVERYDAY_TREGGING_NAVY_241022_58352_710x.jpg?v=1730808563,TREGGINGS,Navy,£22.50,£25
Lovall,Leggings & Jeggings,Black,https://lovall.com/products/ribbed-leggings-black,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/RIBBED_BLACK_MARG_2006_710x.jpg?v=1700126099,RIBBED LEGGINGS,Black,£38,
Lovall,Leggings & Jeggings,Black,https://lovall.com/products/empower-flare-leggings-black,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_16_DANI_35779_710x.jpg?v=1704272112,EMPOWER FLARE LEGGINGS,Black,£40.50,£45
Lovall,Leggings & Jeggings,Black,https://lovall.com/products/winter-flare-leggings-black,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_1_45236_710x.jpg?v=1727095365,WINTER FLARE LEGGINGS,Black,£34,
