Position,Category,Brand,Colour,Product Name,Main Image,Product Link,Discount,Original Price,Current Price
1,Coats & Jackets,Papaya,Cream,Papaya Petite Beige Hybrid Borg Padded Coat,https://ml.thcdn.com/productimg/960/960/15324661-2055190321039096.jpg,https://www.matalan.co.uk/clothing/papaya-petite-beige-hybrid-borg-padded-coat/15324661.html,Red Friday Deal – Limited Time Only,£48.00,£38.00
2,Coats & Jackets,Papaya,Black,Papaya Petite Black Mid Length Padded Coat,https://ml.thcdn.com/productimg/960/960/15336634-8915182034850366.jpg,https://www.matalan.co.uk/clothing/papaya-petite-black-mid-length-padded-coat/15336634.html,Red Friday Deal – Limited Time Only,£40.00,£30.00
3,Coats & Jackets,Papaya,Khaki,Papaya Petite Khaki Mid Length Anorak,https://ml.thcdn.com/productimg/960/960/15268496-6475170608638805.jpg,https://www.matalan.co.uk/clothing/papaya-petite-khaki-mid-length-anorak/15268496.html,Red Friday Deal,£32.00,£16.00
4,Coats & Jackets,Papaya,Blue,Papaya Petite Blue Check Coat,https://ml.thcdn.com/productimg/960/960/15324716-1295188779733914.jpg,https://www.matalan.co.uk/clothing/papaya-petite-blue-check-coat/15324716.html,Red Friday Deal – Limited Time Only,£48.00,£38.00
5,Coats & Jackets,Papaya,Gray,Papaya Petite Grey Boucle Biker Jacket,https://ml.thcdn.com/productimg/960/960/15268668-1335185455016296.jpg,https://www.matalan.co.uk/clothing/papaya-petite-grey-boucle-biker-jacket/15268668.html,Red Friday Deal – Limited Time Only,£38.00,£28.00
6,Blazer,Papaya,Gray,Papaya Petite Grey Pinstripe Blazer,https://ml.thcdn.com/productimg/960/960/15268488-1985172941064039.jpg,https://www.matalan.co.uk/clothing/papaya-petite-grey-pinstripe-blazer/15268488.html,Red Friday Deal,£35.00,£17.50
7,Blazer,Papaya,Black,Papaya Petite Black Check Blazer,https://ml.thcdn.com/productimg/960/960/15336584-1485188782310296.jpg,https://www.matalan.co.uk/clothing/papaya-petite-black-check-blazer/15336584.html,Red Friday Deal,£36.00,£18.00
8,Knitwear,Papaya,Cream,Papaya Petite Cream Lace Up Detail Jumper,https://ml.thcdn.com/productimg/960/960/15336212-1455183626561227.jpg,https://www.matalan.co.uk/clothing/papaya-petite-cream-lace-up-detail-jumper/15336212.html,20% Off - Matalan Me Member Exclusive,,£24.00
9,Knitwear,Papaya,Cream,Papaya Petite Cream Pointelle Open Collar Jumper,https://ml.thcdn.com/productimg/960/960/15265994-5455188782869871.jpg,https://www.matalan.co.uk/clothing/papaya-petite-cream-pointelle-open-collar-jumper/15265994.html,Red Friday Deal,£22.00,£15.00
10,Knitwear,Papaya,Black,Papaya Petite Black Aztec Borg Half Zip Jumper,https://ml.thcdn.com/productimg/960/960/15365129-1415188779023862.jpg,https://www.matalan.co.uk/clothing/papaya-petite-black-aztec-borg-half-zip-jumper/15365129.html,,,£25.00
11,Knitwear,Papaya,Navy,Papaya Petite Navy Stripe Jumper,https://ml.thcdn.com/productimg/960/960/15265939-5685188771629561.jpg,https://www.matalan.co.uk/clothing/papaya-petite-navy-stripe-jumper/15265939.html,20% Off - Matalan Me Member Exclusive,,£20.00
12,Dresses,Papaya,Black,Petite Black Paisley Midi Dress,https://ml.thcdn.com/productimg/960/960/15336284-5895172947187576.jpg,https://www.matalan.co.uk/clothing/petite-black-paisley-midi-dress/15336284.html,Red Friday Deal,£22.00,£12.50
13,Dresses,Papaya,,Papaya Petite Leopard Print Shirred Midi Dress,https://ml.thcdn.com/productimg/960/960/15268261-1115170609317093.jpg,https://www.matalan.co.uk/clothing/papaya-petite-leopard-print-shirred-midi-dress/15268261.html,Red Friday Deal,£22.00,£11.00
