Brand,Category,Colour,Product Link,Main Image,Product Name,Current Price,,,,,,,,,,
Mint Velvet,Jeans,Gray,https://mintvelvet.com/products/silver-coated-slim-jean,https://mintvelvet.com/cdn/shop/files/silver-coated-slim-jean_2_241024112617_840x.jpg?v=1224930,Silver Coated Every Occasion Slim Jeans,£110.00,,,,,,,,,,silver coated every occasion slim jeans
Mint Velvet,Jeans,Black,https://mintvelvet.com/products/black-fitted-flared-jean,https://mintvelvet.com/cdn/shop/files/black-fitted-flared-jean_1_24103102489_840x.jpg?v=1224930,Black Fitted Flared Jeans,£89.00,,,,,,,,,,black fitted flared jeans
Mint Velvet,Jeans,Black,https://mintvelvet.com/products/washed-black-flared-jean,https://mintvelvet.com/cdn/shop/files/washed-black-flared-jean_1_240904120534_840x.jpg?v=1224930,Washed Black Flared Jeans,£99.00,,,,,,,,,,washed black flared jeans
Mint Velvet,Jeans,Black,https://mintvelvet.com/products/washed-black-diamante-wide,https://mintvelvet.com/cdn/shop/files/washed-black-diamante-wide_1_241024112654_840x.jpg?v=1224930,Washed Black Diamante Wide Jeans,£135.00,,,,,,,,,,washed black diamante wide jeans
Mint Velvet,Trousers,Black,https://mintvelvet.com/products/black-pleat-wide-leg-trouser,https://mintvelvet.com/cdn/shop/files/black-pleat-wide-leg-trouser_1_24111209210_840x.jpg?v=1224930,Black Pleated Wide Leg Trousers,£99.00,,,,,,,,,,black pleated wide leg trousers
Mint Velvet,Trousers,Black,https://mintvelvet.com/products/black-studded-wide-leg-trouser,https://mintvelvet.com/cdn/shop/files/black-studded-wide-leg-trouser_1_24082811494_840x.jpg?v=1224930,Black Studded Wide Leg Trousers,£99.00,,,,,,,,,,black studded wide leg trousers
Mint Velvet,Jeans,Blue,https://mintvelvet.com/products/mid-indigo-relaxed-flare-jeans,https://mintvelvet.com/cdn/shop/files/mid-indigo-relaxed-flare-jeans_1_241024112528_840x.jpg?v=1224930,Mid Indigo Relaxed Flare Contrast Jeans,£99.00,,,,,,,,,,mid indigo relaxed flare contrast jeans
Mint Velvet,Jeans,Blue,https://mintvelvet.com/products/mid-indigo-straight-jean,https://mintvelvet.com/cdn/shop/files/mid-indigo-straight-jean_1_240809105131_840x.jpg?v=1224930,Mid Indigo Straight Jeans,£89.00,,,,,,,,,,mid indigo straight jeans
Mint Velvet,Jeans,Blue,https://mintvelvet.com/products/dark-indigo-pleated-wide-jean,https://mintvelvet.com/cdn/shop/files/dark-indigo-pleated-wide-jean_1_24102310286_840x.jpg?v=1224930,Dark Indigo Pleat Front Wide Jeans,£99.00,,,,,,,,,,dark indigo pleat front wide jeans
Mint Velvet,Jeans,Gray,https://mintvelvet.com/products/grey-skinny-jean,https://mintvelvet.com/cdn/shop/files/grey-skinny-jean_1_24080910531_840x.jpg?v=1224930,Grey Wash Sculpting Skinny Jeans,£89.00,,,,,,,,,,grey wash sculpting skinny jeans
Mint Velvet,Trousers,Grey,https://mintvelvet.com/products/taupe-tailored-pleat-trouser,https://mintvelvet.com/cdn/shop/files/taupe-tailored-pleat-trouser_1_241021034634_840x.jpg?v=1224930,Grey Tailored Straight Trousers,£135.00,,,,,,,,,,grey tailored straight trousers
Mint Velvet,Jeans,Black,https://mintvelvet.com/products/washed-black-pleated-wide-jean,https://mintvelvet.com/cdn/shop/files/washed-black-pleated-wide-jean_1_241010103955_840x.jpg?v=1224930,Washed Black Pleated Wide Jeans,£99.00,,,,,,,,,,washed black pleated wide jeans
Mint Velvet,Trousers,Khaki,https://mintvelvet.com/products/geo-print-wide-leg-trouser,https://mintvelvet.com/cdn/shop/files/geo-print-wide-leg-trouser_1_240904040728_840x.jpg?v=1224930,Khaki Geo Print Wide Leg Trousers,£99.00,,,,,,,,,,khaki geo print wide leg trousers
Mint Velvet,Trousers,Blue,https://mintvelvet.com/products/navy-cotton-blend-slim-trousers,https://mintvelvet.com/cdn/shop/files/slim-compact-trouser_1_241018105748_840x.jpg?v=1224930,Navy Cotton Blend Slim Trousers,£89.00,,,,,,,,,,navy cotton blend slim trousers
Mint Velvet,Jeans,Blue,https://mintvelvet.com/products/mid-indigo-sculpting-skinny-jeans,https://mintvelvet.com/cdn/shop/files/mid-indigo-skinny-jean_1_240715110418_840x.jpg?v=1224930,Mid Indigo Sculpting Skinny Jeans,£89.00,,,,,,,,,,mid indigo sculpting skinny jeans
Mint Velvet,Trousers,Black,https://mintvelvet.com/products/black-velvet-wide-trousers-1,https://mintvelvet.com/cdn/shop/files/black-velvet-wide-trousers-1_1_240919074216_840x.jpg?v=1224930,Black Velvet Wide Trousers,£69.00,,,,,,,,,,black velvet wide trousers
