Position,Category,Brand,Colour,Product Name,Product Link,Main Image,Current Price,Original Price,Discount
1,Coats & Jackets,Phase Eight,Black,Petite Nicci Black Wool Smart Coat,https://www.phase-eight.com/product/petite-nicci-black-wool-smart-coat-950790050.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=950790050&pos=0,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/950790050/950790050-01-petite-nicci-black-wool-smart-coat?_i=AG",£191.20,£239,20% Off Applied
2,Dresses,Phase Eight,Red,Petite Donna Maxi Dress,https://www.phase-eight.com/product/petite-donna-maxi-dress-222190250.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=222190250&pos=1,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/222190250/222190250-01-petite-donna-maxi-dress?_i=AG",£127.20,£159,20% Off Applied
3,Jumpsuits & Playsuits,Phase Eight,Gold,Petite Alli Gold Textured Jumpsuit,https://www.phase-eight.com/product/petite-alli-gold-textured-jumpsuit-222505060.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=222505060&pos=2,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/222505060/222505060-01-petite-alli-gold-textured-jumpsuit?_i=AG",£127.20,£159,20% Off Applied
4,Dresses,Phase Eight,Black,Petite Theodora Leopard Pleat Midi Dress,https://www.phase-eight.com/product/petite-theodora-leopard-pleat-midi-dress-222522000.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=222522000&pos=3,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/222522000/222522000-01-petite-theodora-leopard-pleat-midi-dress?_i=AG",£135.20,£169,20% Off Applied
5,Dresses,Phase Eight,Black,Petite Emre Shimmer Burnout Midi Dress,https://www.phase-eight.com/product/petite-emre-shimmer-burnout-midi-dress-222526492.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=222526492&pos=4,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/222526492/222526492-01-petite-emre-shimmer-burnout-midi-dress?_i=AG",£127.20,£159,20% Off Applied
6,Dresses,Phase Eight,Red,Petite Candice Dress,https://www.phase-eight.com/product/petite-candice-dress-10000790250.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=10000790250&pos=5,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/10000790250/10000790250-01-petite-candice-swing-dress?_i=AG",£71.20,£89,20% Off Applied
7,Skirts,Phase Eight,Black,Petite Zoe Metallic Pleated Skirt,https://www.phase-eight.com/product/petite-zoe-metallic-pleated-skirt-801379491.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=801379491&pos=6,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/801379491/801379491-01-petite-zoe-metallic-pleated-skirt?_i=AG",£88,£110,20% Off Applied
8,Jumpsuits & Playsuits,Phase Eight,Blue,Petite Stella Blue Plisse Jumpsuit,https://www.phase-eight.com/product/petite-stella-blue-plisse-jumpsuit-222402408.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=222402408&pos=7,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/222402408/222402408-01-petite-stella-blue-plisse-jumpsuit?_i=AG",£127.20,£159,20% Off Applied
9,Jumpsuits & Playsuits,Phase Eight,Burgundy,Petite Ayla Jumpsuit,https://www.phase-eight.com/product/petite-ayla-jumpsuit-10000980258.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=10000980258&pos=8,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/10000980258/10000980258-01-petite-ayla-burgundy-jumpsuit?_i=AG",£111.20,£139,20% Off Applied
10,Jumpsuits & Playsuits,Phase Eight,Burgundy,Petite Ivey Burgundy Sequin Jumpsuit,https://www.phase-eight.com/product/petite-ivey-burgundy-sequin-jumpsuit-222524258.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=222524258&pos=9,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/222524258/222524258-01-petite-ivey-burgundy-sequin-jumpsuit?_i=AG",£159.20,£199,20% Off Applied
11,Dresses,Phase Eight,Black,Petite Lela Floral Textured Midi Dress,https://www.phase-eight.com/product/petite-lela-floral-textured-midi-dress-222479492.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=222479492&pos=10,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/222479492/222479492-01-petite-lela-floral-textured-midi-dress?_i=AG",£119.20,£149,20% Off Applied
12,Coats & Jackets,Phase Eight,Green,Petite Nicci Dark Green Wool Smart Coat,https://www.phase-eight.com/product/petite-nicci-dark-green-wool-smart-coat-950791450.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=950791450&pos=11,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/950791450/950791450-01-petite-nicci-dark-green-wool-smart-coat?_i=AG",£191.20,£239,20% Off Applied
13,Dresses,Phase Eight,Black,Petite Kaleigh Sequin Midi Dress,https://www.phase-eight.com/product/petite-kaleigh-sequin-midi-dress-222509492.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=222509492&pos=12,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/222509492/222509492-01-petite-kaleigh-sequin-midi-dress?_i=AG",£119.20,£149,20% Off Applied
