Brand,Product Link,Main Image,Current Price,Category,Product Name,Colour,Swatch Image 1,Swatch Image 2,Discount,Original Price,Swatch Image 3
Pixie Girl,https://www.pixiegirl.com/blk-wrap-bltd-coat-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/0e1c80fa-a46f-45_224773_A.jpg,£69.99,Coats & Jackets,PixieGirl Black Belted Wrap Coat,Black,https://cdn.pixiegirl.com/Images/ProductImages/Small/c4ce32e9-3cc8-42_224775_X.jpg,,,,
Pixie Girl,https://www.pixiegirl.com/black-sequin-t-shirt-dress-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/09daa088-33a1-46_223544_A.jpg,£35,Dresses,PixieGirl Black Sequin T-Shirt Dress,Black,,,,,
Pixie Girl,https://www.pixiegirl.com/pixiegirl-black-faux-fur-trim-aviator-jacket-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/5af92f59-f1ac-4f_222885_A.jpg,£79.99,Coats & Jackets,PixieGirl Black Faux Fur Trim Aviator Jacket,Black,,,,,
Pixie Girl,https://www.pixiegirl.com/drape-cowl-neck-jumpsuit-black-qc-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/d82dd035-f418-44_225768_A.jpg,£32.99,Jumpsuits & Playsuits,PixieGirl Black Drape Cowl Neck Wide Leg Jumpsuit,Black,,,,,
Pixie Girl,https://www.pixiegirl.com/blk-pu-coated-wide-leg-trs-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/3a0d6bab-2038-4e_223423_A.jpg,£34.99,Trousers,PixieGirl Faux Leather Wide Leg Trousers,Black,,,,,
Pixie Girl,https://www.pixiegirl.com/pixiegirl-black-lace-detail-wide-leg-jumpsuit-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/3b589ee3-b415-49_225767_A.jpg,£34.99,Jumpsuits & Playsuits,PixieGirl Black Lace Detail Wide Leg Jumpsuit,Black,,,,,
Pixie Girl,https://www.pixiegirl.com/pixiegirl-black-velour-kick-flare-trousers-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/41056380-4079-4f_223977_A.jpg,£22.99,Trousers,PixieGirl Black Velour Kick Flare Trousers,Black,,,,,
Pixie Girl,https://www.pixiegirl.com/pixiegirl-black-animal-print-longline-dressing-gown-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/fe0c7bc4-1c0c-47_225173_A.jpg,£29.99,Nightwear & Loungewear,PixieGirl Black Animal Print Dressing Gown,Black,,,,,
Pixie Girl,https://www.pixiegirl.com/pixiegirl-black-abstract-animal-print-flutter-sleeve-dress-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/ff581ba4-7540-44_225639_A.jpg,£35,Dresses,PixieGirl Black Abstract Animal Print Flutter Sleeve Dress,Black,https://cdn.pixiegirl.com/Images/ProductImages/Small/320feaf0-3faf-45_225809_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Small/cca2288e-16c3-44_225850_X.jpg,,,
Pixie Girl,https://www.pixiegirl.com/pixiegirl-black-open-collar-longline-formal-coat-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/1cea601a-3df2-44_224778_A.jpg,£59.99,Coats & Jackets,PixieGirl Black Open Collar Longline Formal Coat,Black,https://cdn.pixiegirl.com/Images/ProductImages/Small/dc0bf98f-ca4d-4e_224779_X.jpg,,,,
Pixie Girl,https://www.pixiegirl.com/pixiegirl-black-satin-jacquard-stripe-pyjama-set-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/8c3e83d5-ea4c-4c_225547_A.jpg,£26.99,Nightwear & Loungewear,PixieGirl Black Satin Jacquard Stripe Pyjama Set,Black,https://cdn.pixiegirl.com/Images/ProductImages/Small/d5320e35-7b8f-41_225548_X.jpg,,,,
Pixie Girl,https://www.pixiegirl.com/blk-funnel-nk-onion-quilt-coat-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/321ab895-2240-42_222892_L1.jpg,£35,Coats & Jackets,PixieGirl Black Funnel Neck Quilted Coat,Black,,,(42% OFF),£59.99,
Pixie Girl,https://www.pixiegirl.com/pixiegirl-black-faux-fur-coat-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/2d260668-8f21-45_222888_A.jpg,£49.99,Coats & Jackets,PixieGirl Black Faux Fur Coat,Black,,,,,
Pixie Girl,https://www.pixiegirl.com/pixiegirl-black-sequin-embellished-wide-leg-trousers-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/06624457-811a-4b_225604_1.jpg,£39.99,Trousers,PixieGirl Black Sequin Embellished Wide Leg Trousers,Black,https://cdn.pixiegirl.com/Images/ProductImages/Small/310c26b1-0061-4c_225603_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Small/ec02e932-bdc9-4a_225602_X.jpg,,,
Pixie Girl,https://www.pixiegirl.com/pixiegirl-black-mistletoe-print-christmas-pyjama-set-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/bb152113-29f2-46_223285_A.jpg,£10,Nightwear & Loungewear,PixieGirl Black Mistletoe Print Christmas Pyjama Set,Black,,,(44% OFF),£17.99,
