Position,Category,Brand,Colour,Product Name,Current Price,Original Price,Discount,Product Link,Main Image,Main Image Alt,Swatch Image 1,Swatch Alt 1,Swatch Image 2,Swatch Alt 2
1,Dresses,Dorothy Perkins,,Petite Satin Jacquard Empire Long Sleeve Midi Dress,£41.25,£55.00,Save 25%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-satin-jacquard-empire-long-sleeve-midi-dress_bqq19625?colour=berry,https://mediahub.debenhams.com/bqq19625_berry_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Satin Jacquard Empire Long Sleeve Midi Dress berry,https://mediahub.debenhams.com/bqq19625_berry_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,berry,https://mediahub.debenhams.com/bqq19625_black_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,black
2,Dresses,Dorothy Perkins,,Petite Lace Trim Sequin Mini Dress,£36.00,£45.00,Save 20%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-lace-trim-sequin-mini-dress_bqq19233?colour=silver,https://mediahub.debenhams.com/bqq19233_silver_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Lace Trim Sequin Mini Dress silver,https://mediahub.debenhams.com/bqq19233_silver_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,silver,https://mediahub.debenhams.com/bqq19233_blue_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,blue
3,Dresses,Dorothy Perkins,,Petite Jacquard Ruffle Long Sleeve Mini Dress,£36.00,£45.00,Save 20%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-jacquard-ruffle-long-sleeve-mini-dress_bqq19473?colour=black,https://mediahub.debenhams.com/bqq19473_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Jacquard Ruffle Long Sleeve Mini Dress black,,,,
4,Trousers,Dorothy Perkins,,Petite Tab Belted Straight Leg Trouser,£24.50,£35.00,Save 30%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-tab-belted-straight-leg-trouser_bqq19069?colour=navy,https://mediahub.debenhams.com/bqq19069_navy_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Tab Belted Straight Leg Trouser navy,,,,
5,Jeans,Dorothy Perkins,,Petite Comfort Stretch Skinny Jeans,£18.75,£25.00,Save 25%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-comfort-stretch-skinny-jeans_bqq14693?colour=black,https://mediahub.debenhams.com/bqq14693_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Comfort Stretch Skinny Jeans black,https://mediahub.debenhams.com/bqq14693_black_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,black,https://mediahub.debenhams.com/bqq14693_black_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,black
6,Dresses,Dorothy Perkins,,Petite Floral Tie Waist Midi Shirt Dress,£28.80,£48.00,Save 40%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-floral-tie-waist-midi-shirt-dress_bqq13357?colour=floral,https://mediahub.debenhams.com/bqq13357_floral_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Floral Tie Waist Midi Shirt Dress floral,,,,
7,Blazers,Dorothy Perkins,Black,Petite Black Ruched Sleeve Blazer,£18.00,£45.00,Save 60%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-black-ruched-sleeve-blazer_aqq16551?colour=black,https://mediahub.debenhams.com/aqq16551_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Black Ruched Sleeve Blazer black,,,,
8,Trousers,Dorothy Perkins,,Petite Pull On Wide Leg Trouser,£20.30,£29.00,Save 30%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-pull-on-wide-leg-trouser_bqq15744?colour=black,https://mediahub.debenhams.com/bqq15744_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Pull On Wide Leg Trouser black,https://mediahub.debenhams.com/bqq15744_black_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,black,https://mediahub.debenhams.com/bqq15744_black_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,black
9,Dresses,Dorothy Perkins,,Petite Lace Long Sleeve Midi Dress,£32.50,£65.00,Save 50%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-lace-long-sleeve-midi-dress_bqq19618?colour=berry,https://mediahub.debenhams.com/bqq19618_berry_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Lace Long Sleeve Midi Dress berry,,,,
10,Knitwear,Dorothy Perkins,,Petite Crew Neck Button Cuff Jumper,£14.40,£24.00,Save 40%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-crew-neck-button-cuff-jumper_bqq17490?colour=black,https://mediahub.debenhams.com/bqq17490_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Crew Neck Button Cuff Jumper black,https://mediahub.debenhams.com/bqq17490_black_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,black,https://mediahub.debenhams.com/bqq17490_black_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,black
