Position,Category,Brand,Colour,Product Name,Current Price,Original Price,Discount,Product Link,Main Image,Main Image Alt,Swatch Image 1,Swatch Alt 1,Swatch Image 2,Swatch Alt 2
1,Trousers,River Island,Black,Petite Black Sequin Tailored Fringe Trousers,£49.00,,,https://www.riverisland.com/p/petite-black-sequin-tailored-fringe-trousers-914665,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/914665_main?_a=BATAV5fi0,Petite Black Sequin Tailored Fringe Trousers,,,,
2,Leggings Or Jeggings,River Island,Black,Petite Black Faux Leather Leggings,£28.00,,,https://www.riverisland.com/p/petite-black-faux-leather-leggings-913725,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/913725_main?_a=BATAV5fi0,Petite Black Faux Leather Leggings,,,,
3,Dresses,River Island,Brown,Petite Brown Leopard Mini Sweatshirt Dress,£28.00,,,https://www.riverisland.com/p/petite-brown-leopard-mini-sweatshirt-dress-919202,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/919202_main?_a=BATAV5fi0,Petite Brown Leopard Mini Sweatshirt Dress,https://images.riverisland.com/is/image/RiverIsland/919202_swatch,,https://images.riverisland.com/is/image/RiverIsland/919203_swatch,
4,Tops,River Island,Black,Petite Black Longline Waistcoat Jumpsuit,£55.00,,,https://www.riverisland.com/p/petite-black-longline-waistcoat-jumpsuit-918505,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/918505_main?_a=BATAV5fi0,Petite Black Longline Waistcoat Jumpsuit,,,,
5,Coats & Jackets,River Island,Black,Petite Black Wool Midi Military Coat,£85.00,,,https://www.riverisland.com/p/petite-black-wool-midi-military--coat-914221,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/914221_main?_a=BATAV5AA0,Petite Black Wool Midi Military Coat,,,,
6,Jeans,River Island,Blue,Petite Blue Denim Relaxed Straight Jeans,£42.00,,,https://www.riverisland.com/p/petite-blue-denim-relaxed-straight-jeans-912156,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/912156_main?_a=BATAV5AA0,Petite Blue Denim Relaxed Straight Jeans,,,,
7,Tops,River Island,Black,Petite Black Fitted Tuxedo Waistcoat,£32.00,,,https://www.riverisland.com/p/petite-black-fitted-tuxedo-waistcoat-913962,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/913962_main?_a=BATAV5AA0,Petite Black Fitted Tuxedo Waistcoat,,,,
8,Tops,River Island,Black,Petite Black Sequin Fringe Shirt,£49.00,,,https://www.riverisland.com/p/petite-black-sequin-fringe-shirt-914664,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/914664_main?_a=BATAV5AA0,Petite Black Sequin Fringe Shirt,,,,
9,Jeans,River Island,,Petite High Waisted Relaxed Straight Jeans,£42.00,,,https://www.riverisland.com/p/petite-high-waisted-relaxed-straight-jeans-912453,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/912453_main?_a=BATAV5AA0,Petite High Waisted Relaxed Straight Jeans,,,,
10,Skirts,River Island,Cream,Petite Cream 3D Texture Pencil Skirt,£49.00,,,https://www.riverisland.com/p/petite-cream-3d-texture-pencil-skirt-914666,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/914666_main?_a=BATAV5AA0,Petite Cream 3D Texture Pencil Skirt,,,,
11,Leggings Or Jeggings,River Island,Black,Petite Black Mid Rise Sculpt Molly Jeggings,£48.00,,,https://www.riverisland.com/p/petite-black-mid-rise-sculpt-molly-jeggings-913105,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/913105_main?_a=BATAV5AA0,Petite Black Mid Rise Sculpt Molly Jeggings,,,,
12,Jeans,River Island,Red,Petite Red Relaxed Straight Snake Print Jeans,£60.00,,,https://www.riverisland.com/p/petite-red-relaxed-straight-snake-print-jeans-916873,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/916873_main?_a=BATAV5AA0,Petite Red Relaxed Straight Snake Print Jeans,,,,
13,Coats & Jackets,River Island,Khaki,Petite Khaki Waxed Collar Jacket,£40.00,,,https://www.riverisland.com/p/petite-khaki-waxed-collar-jacket-919017,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/919017_main?_a=BATAV5AA0,Petite Khaki Waxed Collar Jacket,,,,
14,Nightwear,River Island,Black,Petite Black Satin Toile Print Pyjamas Set,£40.00,,,https://www.riverisland.com/p/petite-black-satin-toile-print-pyjamas-set-913724,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/913724_main?_a=BATAV5AA0,Petite Black Satin Toile Print Pyjamas Set,,,,
15,Jeans,River Island,Brown,Petite Brown Relaxed Straight Jeans,£42.00,,,https://www.riverisland.com/p/petite-brown-relaxed-straight-jeans-913800,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/913800_main?_a=BATAV5AA0,Petite Brown Relaxed Straight Jeans,,,,
16,Tops,River Island,Black,Petite Black Embellished Shoulder Top,£42.00,,,https://www.riverisland.com/p/petite-black-embellished-shoulder-top-915034,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/915034_main?_a=BATAV5AA0,Petite Black Embellished Shoulder Top,,,,
17,Dresses,River Island,Khaki,Petite Khaki Camouflage Mini Sweatshirt Dress,£28.00,,,https://www.riverisland.com/p/petite-khaki-camouflage-mini-sweatshirt-dress-919203,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/919203_main?_a=BATAV5AA0,Petite Khaki Camouflage Mini Sweatshirt Dress,https://images.riverisland.com/is/image/RiverIsland/919203_swatch,,https://images.riverisland.com/is/image/RiverIsland/919202_swatch,
18,Jeans,River Island,Grey,Petite Grey Denim Super Wide Jeans,£48.00,,,https://www.riverisland.com/p/petite-grey-denim-super-wide-jeans-916705,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/916705_main?_a=BATAV5AA0,Petite Grey Denim Super Wide Jeans,,,,
