Brand,Category,Colour,Product Link,Main Image,Product Name,Current Price,Original Price,Swatch Image 1,Swatch Image 2,Swatch Image 3,Swatch Image 4
Warehouse,Dresses,Black,https://www.warehousefashion.com/product/warehouse-petite-tufted-dobby-chiffon-plunge-neck-mini-dress_bww07985?colour=natural%20black,https://mediahub.debenhams.com/bww07985_natural%20black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Tufted Dobby Chiffon Plunge Neck Mini Dress,£29.00,£49.00,https://mediahub.debenhams.com/bww07985_rust_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,https://mediahub.debenhams.com/bww07985_natural%20black_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,,
Warehouse,Jumpsuits & Playsuits,Black,https://www.warehousefashion.com/product/warehouse-petite-sparkle-border-print-halter-neck-jumpsuit_bww04697?colour=black,https://mediahub.debenhams.com/bww04697_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Sparkle Border Print Halter Neck Jumpsuit,£15.00,£79.00,,,,
Warehouse,Dresses,Black,https://www.warehousefashion.com/product/warehouse-petite-shadow-floral-print-premium-satin-batwing-dress_bww06232?colour=black,https://mediahub.debenhams.com/bww06232_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Shadow Floral Print Premium Satin Batwing Dress,£17.00,£89.00,,,,
Warehouse,Dresses,Black,https://www.warehousefashion.com/product/warehouse-petite-mixed-floral-flute-sleeve-jacquard-midi-dress_bww05410?colour=black,https://mediahub.debenhams.com/bww05410_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Mixed Floral Flute Sleeve Jacquard Midi Dress,£17.00,£85.00,,,,
Warehouse,Tops,Black,https://www.warehousefashion.com/product/warehouse-petite-disc-textured-sequin-long-sleeve-top_bww06352?colour=black,https://mediahub.debenhams.com/bww06352_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Disc Textured Sequin Long Sleeve Top,£17.00,£59.00,,,,
Warehouse,Tops,Black,https://www.warehousefashion.com/product/warehouse-petite-floral-ruffle-detail-lace-up-blouse_bww00455?colour=black,https://mediahub.debenhams.com/bww00455_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Floral Ruffle Detail Lace Up Blouse,£13.00,£49.00,,,,
Warehouse,Dresses,Black,https://www.warehousefashion.com/product/warehouse-petite-satin-strappy-back-slip-dress_bww06222?colour=black,https://mediahub.debenhams.com/bww06222_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Satin Strappy Back Slip Dress,£13.00,£69.00,,,,
Dorothy Perkins,Dresses,Black,https://www.warehousefashion.com/product/dorothy-perkins-dp-luxe-petite-black-embroidered-velvet-mini-dress_bqq19589?colour=black,https://mediahub.debenhams.com/bqq19589_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Dp Luxe Petite Black Embroidered Velvet Mini Dress,£71.25,£75.00,,,,
Dorothy Perkins,Dresses,Black,https://www.warehousefashion.com/product/dorothy-perkins-petite-satin-jacquard-empire-long-sleeve-midi-dress_bqq19625?colour=black,https://mediahub.debenhams.com/bqq19625_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Satin Jacquard Empire Long Sleeve Midi Dress,£52.25,£55.00,https://mediahub.debenhams.com/bqq19625_berry_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,https://mediahub.debenhams.com/bqq19625_black_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,,
Dorothy Perkins,Trousers,Black,https://www.warehousefashion.com/product/dorothy-perkins-petite-satin-tapered-trouser_bqq19904?colour=black,https://mediahub.debenhams.com/bqq19904_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Satin Tapered Trouser,£11.70,£39.00,,,,
Dorothy Perkins,Dresses,Black,https://www.warehousefashion.com/product/dorothy-perkins-petite-jacquard-midi-shirt-dress_bqq19604?colour=black,https://mediahub.debenhams.com/bqq19604_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Jacquard Midi Shirt Dress,£29.25,£39.00,,,,
Wallis,Blazers,Black,https://www.warehousefashion.com/product/wallis-tie-belted-sequin-blazer_byy13775?colour=black,https://mediahub.debenhams.com/byy13775_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Tie Belted Sequin Blazer,£53.00,£79.00,https://mediahub.debenhams.com/byy13775_gold_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,https://mediahub.debenhams.com/byy13775_black_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,,
Oasis,Dresses,Black,https://www.warehousefashion.com/product/oasis-petite-metallic-jacquard-flute-sleeve-midi-dress_baa10934?colour=black,https://mediahub.debenhams.com/baa10934_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Metallic Jacquard Flute Sleeve Midi Dress,£56.05,£59.00,,,,
Principles,Coats & Jackets,Black,https://www.warehousefashion.com/product/principles-petite-patch-pocket-double-breasted-coat_pdd10918?colour=black,https://mediahub.debenhams.com/pdd10918_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Patch Pocket Double Breasted Coat,£75.05,£79.00,https://mediahub.debenhams.com/pdd10918_forest_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,https://mediahub.debenhams.com/pdd10918_black_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,,
Wallis,Tops,Black,https://www.warehousefashion.com/product/wallis-petite-velvet-trim-georgette-blouse_byy13810?colour=black,https://mediahub.debenhams.com/byy13810_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Velvet Trim Georgette Blouse,£34.40,£42.00,,,,
Oasis,Dresses,Black,https://www.warehousefashion.com/product/oasis-petite-occasion-metallic-puff-sleeve-midaxi-dress_baa10642?colour=black,https://mediahub.debenhams.com/baa10642_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Occasion Metallic Puff Sleeve Midaxi Dress,£42.00,£85.00,,,,
Dorothy Perkins,Dresses,Black,https://www.warehousefashion.com/product/dorothy-perkins-petite-khaki-floral-keyhole-midi-dress_bqq19320?colour=black,https://mediahub.debenhams.com/bqq19320_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Khaki Floral Keyhole Midi Dress,£21.00,£35.00,,,,
Wallis,Cardigans,Black,https://www.warehousefashion.com/product/wallis-petite-zip-through-sleeveless-cardigan_byy13347?colour=black,https://mediahub.debenhams.com/byy13347_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Zip Through Sleeveless Cardigan,£33.00,£55.00,https://mediahub.debenhams.com/byy13347_ivory_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,https://mediahub.debenhams.com/byy13347_black_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,,
Wallis,Jumpsuits & Playsuits,Black,https://www.warehousefashion.com/product/wallis-occasion-velvet-pearl-embellished-jumpsuit_byy13167?colour=black,https://mediahub.debenhams.com/byy13167_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Occasion Velvet Pearl Embellished Jumpsuit,£79.00,,,,,
Wallis,Tops,Black,https://www.warehousefashion.com/product/wallis-petite-lace-trim-ruffle-neck-top_byy12904?colour=black,https://mediahub.debenhams.com/byy12904_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Lace Trim Ruffle Neck Top,£28.00,£35.00,https://mediahub.debenhams.com/byy12904_red_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,https://mediahub.debenhams.com/byy12904_black_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,,
Wallis,Coats & Jackets,Black,https://www.warehousefashion.com/product/wallis-petite-military-pea-coat_byy11637?colour=black,https://mediahub.debenhams.com/byy11637_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Military Pea Coat,£90.25,£95.00,https://mediahub.debenhams.com/byy11637_berry_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,https://mediahub.debenhams.com/byy11637_black_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,,
Wallis,Coats & Jackets,Black,https://www.warehousefashion.com/product/wallis-petite-double-breasted-pea-coat_byy11700?colour=black,https://mediahub.debenhams.com/byy11700_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Double Breasted Pea Coat,£90.25,£95.00,https://mediahub.debenhams.com/byy11700_forest_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,https://mediahub.debenhams.com/byy11700_black_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,https://mediahub.debenhams.com/byy11700_navy_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,
