Position ,Brand,Category,Colour,Product Link,Main Image,Product Name,Current Price,Original Price,Discount
1,Whistles,Coats & Jackets,Black,https://www.whistles.com/product/morgan-funnel-neck-coat-39067.html#cgid=Petite_Clothing_WW&is=false&sz=60&start=0&isSecondPage=false&pid=morgan-funnel-neck-coat-39067&pos=0,"https://media.whistles.com/image/upload/f_auto,q_auto,dpr_auto/w_600/wh-catalog/images/02403906701/whistles-morgan-funnel-neck-coat-black-01?_i=AG",Black Petite Morgan Funnel Neck Coat,£263.20,£329,
2,Whistles,Dresses,Black,https://www.whistles.com/product/myla-velvet-mini-dress-39277.html#cgid=Petite_Clothing_WW&is=false&sz=60&start=0&isSecondPage=false&pid=myla-velvet-mini-dress-39277&pos=1,"https://media.whistles.com/image/upload/f_auto,q_auto,dpr_auto/w_600/wh-catalog/images/02403927701/whistles-velvet-drawstring-detail-dress-black-01?_i=AG",Black Petite Myla Velvet Mini Dress,£119.20,£149,
3,Whistles,Skirts,Black,https://www.whistles.com/product/leather-a-line-skirt-37502.html#cgid=Petite_Clothing_WW&is=false&sz=60&start=0&isSecondPage=false&pid=leather-a-line-skirt-37502&pos=2,"https://media.whistles.com/image/upload/f_auto,q_auto,dpr_auto/w_600/wh-catalog/images/02403750201/whistles-leather-a-line-skirt-black-01?_i=AG",Black Petite Leather A Line Skirt,£136,£170,
4,Whistles,Trousers,Black,https://www.whistles.com/product/ultimate-crepe-trouser-39476.html#cgid=Petite_Clothing_WW&is=false&sz=60&start=0&isSecondPage=false&pid=ultimate-crepe-trouser-39476&pos=3,"https://media.whistles.com/image/upload/f_auto,q_auto,dpr_auto/w_600/wh-catalog/images/00803932201/whistles-ultimate-crepe-trouser-black-01?_i=AG",Black Petite Ultimate Crepe Trouser,£87.20,£109,
5,Whistles,Jeans,Black,https://www.whistles.com/product/authentic-barrel-leg-jean-37178.html#cgid=Petite_Clothing_WW&is=false&sz=60&start=0&isSecondPage=false&pid=authentic-barrel-leg-jean-37178&pos=4,"https://media.whistles.com/image/upload/f_auto,q_auto,dpr_auto/w_600/wh-catalog/images/02403717800/whistles-authentic-barrel-leg-jean-black-01?_i=AG",Black Petite Authentic Barrel Leg Jean,£76,£95,
6,Whistles,Dresses,Red,https://www.whistles.com/product/arabella-ruched-mesh-dress-39278.html#cgid=Petite_Clothing_WW&is=false&sz=60&start=0&isSecondPage=false&pid=arabella-ruched-mesh-dress-39278&pos=5,"https://media.whistles.com/image/upload/f_auto,q_auto,dpr_auto/w_600/wh-catalog/images/02403927872/whistles-arabella-ruched-mesh-dress-red-01?_i=AG",Red Petite Arabella Ruched Mesh Dress,£119.20,£149,
7,Whistles,Dresses,Black,https://www.whistles.com/product/metallic-stripe-midi-dress-39334.html#cgid=Petite_Clothing_WW&is=false&sz=60&start=0&isSecondPage=false&pid=metallic-stripe-midi-dress-39334&pos=6,"https://media.whistles.com/image/upload/f_auto,q_auto,dpr_auto/w_600/wh-catalog/images/02403933402/whistles-metallic-stripe-midi-dress-black-multi-01?_i=AG",Black Petite Metallic Stripe Midi Dress,£151.20,£189,
8,Whistles,Trousers,Blue,https://www.whistles.com/product/super-stretch-trouser-36903.html#cgid=Petite_Clothing_WW&is=false&sz=60&start=0&isSecondPage=false&pid=super-stretch-trouser-36903&pos=7,"https://media.whistles.com/image/upload/f_auto,q_auto,dpr_auto/w_600/wh-catalog/images/02403690390/whistles-super-stretch-trrouser-navy-01?_i=AG",Navy Petite Super Stretch Trouser,£79.20,£99,
9,Whistles,Jumpsuits & Playsuits,Black,https://www.whistles.com/product/wrap-velvet-jumpsuit-37863.html#cgid=Petite_Clothing_WW&is=false&sz=60&start=0&isSecondPage=false&pid=wrap-velvet-jumpsuit-37863&pos=8,"https://media.whistles.com/image/upload/f_auto,q_auto,dpr_auto/w_600/wh-catalog/images/02403786301/whistles-wrap-jersey-velvet-jumpsuit-black-01?_i=AG",Black Petite Wrap Velvet Jumpsuit,£127.20,£159,
10,Whistles,Coats & Jackets,Gray,https://www.whistles.com/product/eliza-double-breasted-coat-39280.html#cgid=Petite_Clothing_WW&is=false&sz=60&start=0&isSecondPage=false&pid=eliza-double-breasted-coat-39280&pos=9,"https://media.whistles.com/image/upload/f_auto,q_auto,dpr_auto/w_600/wh-catalog/images/00103915732/whistles-eliza-wool-coat-grey-01?_i=AG",Grey Petite Eliza Double Breasted Coat,£263.20,£329,
11,Whistles,Jumpsuits & Playsuits,Red,https://www.whistles.com/product/bonnie-gathered-jumpsuit-39107.html#cgid=Petite_Clothing_WW&is=false&sz=60&start=0&isSecondPage=false&pid=bonnie-gathered-jumpsuit-39107&pos=10,"https://media.whistles.com/image/upload/f_auto,q_auto,dpr_auto/w_600/wh-catalog/images/01803905401/whistles-bonnie-gathered-jumpsuit-black-01?_i=AG",Black Petite Bonnie Gathered Jumpsuit,£151.20,£189,
12,Whistles,Trousers,Black,https://www.whistles.com/product/super-stretch-trouser-36902.html#cgid=Petite_Clothing_WW&is=false&sz=60&start=0&isSecondPage=false&pid=super-stretch-trouser-36902&pos=11,"https://media.whistles.com/image/upload/f_auto,q_auto,dpr_auto/w_600/wh-catalog/images/02403690201/whistles-super-stretch-trouser-black-01?_i=AG",Black Petite Super Stretch Trouser,£79.20,£99,
13,Whistles,Coats & Jackets,Gray,https://www.whistles.com/product/cosette-funnel-neck-coat-39764.html#cgid=Petite_Clothing_WW&is=false&sz=60&start=0&isSecondPage=false&pid=cosette-funnel-neck-coat-39764&pos=12,"https://media.whistles.com/image/upload/f_auto,q_auto,dpr_auto/w_600/wh-catalog/images/00103929839/whistles-cosette-houndstooth-coat-multicolour-01?_i=AG",Multicolour Petite Cosette Funnel Neck Coat,£263.20,£329,
14,Whistles,Dresses,Black,https://www.whistles.com/product/hot-fix-floral-velvet-dress-39248.html#cgid=Petite_Clothing_WW&is=false&sz=60&start=0&isSecondPage=false&pid=hot-fix-floral-velvet-dress-39248&pos=13,"https://media.whistles.com/image/upload/f_auto,q_auto,dpr_auto/w_600/wh-catalog/images/02403924801/whistles-hotfix-floral-velvet-mini-black-01?_i=AG",Black Petite Hot Fix Floral Velvet Dress,£143.20,£179,
