Brand,Category,Colour,Product Link,Main Image,Product Name,Original Price,Current Price,Swatch Image 1,Swatch Image 2,Swatch Image 3,Swatch Image 4,Swatch Image 5,Swatch Image 6,,,,,,,,,,,,,
White Stuff,Dresses,Green,https://www.whitestuff.com/p/4787/izzy-midi-dress/GREEN_PR,https://cdn.media.amplience.net/s/whitestuff/442228-GREEN_PR-SET/1?fmt=auto&qlt=default&w=992,IZZY MIDI DRESS,£79.00,£59.25,https://cdn.media.amplience.net/s/whitestuff/442228-GREEN_PR-SET/1?$swatch$&fmt=auto&default=20&w=68,,,,,,,,,,,,,,,izzy midi dresshttps://cdn.media.amplience.net/s/whitestuff/442228-green_pr-set/1?$swatch$&fmt=auto&default=20&w=68,,,izzy midi dress
White Stuff,Dresses,Blue,https://www.whitestuff.com/p/4504/madeline-jersey-midi-dress/TEAL_MLT,https://cdn.media.amplience.net/s/whitestuff/441685-TEAL_MLT-SET/1?fmt=auto&qlt=default&w=992,MADELINE JERSEY MIDI DRESS,£59.00,£44.25,https://cdn.media.amplience.net/s/whitestuff/441685-TEAL_MLT-SET/1?$swatch$&fmt=auto&default=20&w=68,https://cdn.media.amplience.net/s/whitestuff/441685-TEAL_PR-SET/1?$swatch$&fmt=auto&default=20&w=68,https://cdn.media.amplience.net/s/whitestuff/441685-NAVY_PR-SET/1?$swatch$&fmt=auto&default=20&w=68,https://cdn.media.amplience.net/s/whitestuff/441685-BLK_MLT-SET/1?$swatch$&fmt=auto&default=20&w=68,,,,,,,,,,,,madeline jersey midi dresshttps://cdn.media.amplience.net/s/whitestuff/441685-teal_mlt-set/1?$swatch$&fmt=auto&default=20&w=68https://cdn.media.amplience.net/s/whitestuff/441685-teal_pr-set/1?$swatch$&fmt=auto&default=20&w=68https://cdn.media.amplience.net/s/whitestuff/441685-navy_pr-set/1?$swatch$&fmt=auto&default=20&w=68https://cdn.media.amplience.net/s/whitestuff/441685-blk_mlt-set/1?$swatch$&fmt=auto&default=20&w=68,,,madeline jersey midi dresshttps://cdn.media.amplience.net/s/whitestuff/441685-blk_mlt-set/1?$swatch$&fmt=auto&default=20&w=68
White Stuff,Dresses,Blue,https://www.whitestuff.com/p/4281/megan-jersey-dress/NAVY_PR,https://cdn.media.amplience.net/s/whitestuff/441683-NAVY_PR-SET/1?fmt=auto&qlt=default&w=992,MEGAN JERSEY DRESS,£65.00,£48.75,https://cdn.media.amplience.net/s/whitestuff/441683-NAVY_PR-SET/1?$swatch$&fmt=auto&default=20&w=68,https://cdn.media.amplience.net/s/whitestuff/441683-PLUM_PR-SET/1?$swatch$&fmt=auto&default=20&w=68,https://cdn.media.amplience.net/s/whitestuff/441683-BLK_PR-SET/1?$swatch$&fmt=auto&default=20&w=68,https://cdn.media.amplience.net/s/whitestuff/441683-TEAL_PR-SET/1?$swatch$&fmt=auto&default=20&w=68,,,,,,,,,,,,megan jersey dresshttps://cdn.media.amplience.net/s/whitestuff/441683-navy_pr-set/1?$swatch$&fmt=auto&default=20&w=68https://cdn.media.amplience.net/s/whitestuff/441683-plum_pr-set/1?$swatch$&fmt=auto&default=20&w=68https://cdn.media.amplience.net/s/whitestuff/441683-blk_pr-set/1?$swatch$&fmt=auto&default=20&w=68https://cdn.media.amplience.net/s/whitestuff/441683-teal_pr-set/1?$swatch$&fmt=auto&default=20&w=68,,,megan jersey dresshttps://cdn.media.amplience.net/s/whitestuff/441683-teal_pr-set/1?$swatch$&fmt=auto&default=20&w=68
White Stuff,Dresses,Purple,https://www.whitestuff.com/p/4281/megan-jersey-dress/PLUM_PR,https://cdn.media.amplience.net/s/whitestuff/441683-PLUM_PR-SET/1?fmt=auto&qlt=default&w=992,MEGAN JERSEY DRESS,£65.00,£48.75,https://cdn.media.amplience.net/s/whitestuff/441683-PLUM_PR-SET/1?$swatch$&fmt=auto&default=20&w=68,https://cdn.media.amplience.net/s/whitestuff/441683-NAVY_PR-SET/1?$swatch$&fmt=auto&default=20&w=68,https://cdn.media.amplience.net/s/whitestuff/441683-BLK_PR-SET/1?$swatch$&fmt=auto&default=20&w=68,https://cdn.media.amplience.net/s/whitestuff/441683-TEAL_PR-SET/1?$swatch$&fmt=auto&default=20&w=68,,,,,,,,,,,,,,,
White Stuff,Dresses,Blue,https://www.whitestuff.com/p/4997/megan-embroidered-midi-jersey-dress/TEAL_MLT,https://cdn.media.amplience.net/s/whitestuff/442246-TEAL_MLT-SET/1?fmt=auto&qlt=default&w=992,MEGAN EMBROIDERED MIDI JERSEY DRESS,£85.00,£63.75,https://cdn.media.amplience.net/s/whitestuff/442246-TEAL_MLT-SET/1?$swatch$&fmt=auto&default=20&w=68,,,,,,,,,,,,,,,megan embroidered midi jersey dresshttps://cdn.media.amplience.net/s/whitestuff/442246-teal_mlt-set/1?$swatch$&fmt=auto&default=20&w=68,,,megan embroidered midi jersey dress
White Stuff,Dresses,Purple,https://www.whitestuff.com/p/4379/lucy-cord-dress/DK_PLUM,https://cdn.media.amplience.net/s/whitestuff/441722-DK_PLUM-SET/1?fmt=auto&qlt=default&w=992,LUCY CORD DRESS,£79.00,£59.25,https://cdn.media.amplience.net/s/whitestuff/441722-DK_PLUM-SET/1?$swatch$&fmt=auto&default=20&w=68,https://cdn.media.amplience.net/s/whitestuff/441722-DK_TEAL-SET/1?$swatch$&fmt=auto&default=20&w=68,,,,,,,,,,,,,,,,,
White Stuff,Dresses,Blue,https://www.whitestuff.com/p/4768/ash-velvet-mix-dress/DK_TEAL,https://cdn.media.amplience.net/s/whitestuff/442037-DK_TEAL-SET/1?fmt=auto&qlt=default&w=992,ASH VELVET MIX DRESS,£89.00,£66.75,https://cdn.media.amplience.net/s/whitestuff/442037-DK_TEAL-SET/1?$swatch$&fmt=auto&default=20&w=68,https://cdn.media.amplience.net/s/whitestuff/442037-TEAL_PR-SET/1?$swatch$&fmt=auto&default=20&w=68,,,,,,,,,,,,,,ash velvet mix dresshttps://cdn.media.amplience.net/s/whitestuff/442037-dk_teal-set/1?$swatch$&fmt=auto&default=20&w=68https://cdn.media.amplience.net/s/whitestuff/442037-teal_pr-set/1?$swatch$&fmt=auto&default=20&w=68,,,ash velvet mix dress
White Stuff,Trousers,Black,https://www.whitestuff.com/p/2326/savannah-stretch-trousers/PURE_BLK,https://cdn.media.amplience.net/s/whitestuff/439499-PURE_BLK-SET/1?fmt=auto&qlt=default&w=992,SAVANNAH STRETCH TROUSERS,£65.00,£48.75,https://cdn.media.amplience.net/s/whitestuff/439499-PURE_BLK-SET/1?$swatch$&fmt=auto&default=20&w=68,https://cdn.media.amplience.net/s/whitestuff/439499-DARK_NAVY-SET/1?$swatch$&fmt=auto&default=20&w=68,,,,,,,,,,,,,,savannah stretch trousershttps://cdn.media.amplience.net/s/whitestuff/439499-pure_blk-set/1?$swatch$&fmt=auto&default=20&w=68https://cdn.media.amplience.net/s/whitestuff/439499-dark_navy-set/1?$swatch$&fmt=auto&default=20&w=68,,,savannah stretch trousers
White Stuff,Trousers,Blue,https://www.whitestuff.com/p/2326/savannah-stretch-trousers/DARK_NAVY,https://cdn.media.amplience.net/s/whitestuff/439499-DARK_NAVY-SET/1?fmt=auto&qlt=default&w=992,SAVANNAH STRETCH TROUSERS,£65.00,£48.75,https://cdn.media.amplience.net/s/whitestuff/439499-DARK_NAVY-SET/1?$swatch$&fmt=auto&default=20&w=68,https://cdn.media.amplience.net/s/whitestuff/439499-PURE_BLK-SET/1?$swatch$&fmt=auto&default=20&w=68,,,,,,,,,,,,,,savannah stretch trousershttps://cdn.media.amplience.net/s/whitestuff/439499-dark_navy-set/1?$swatch$&fmt=auto&default=20&w=68https://cdn.media.amplience.net/s/whitestuff/439499-pure_blk-set/1?$swatch$&fmt=auto&default=20&w=68,,,savannah stretch trousers
White Stuff,Dresses,Blue,https://www.whitestuff.com/p/5136/annie-jersey-shirt-midi-dress/NAVY_PR,https://cdn.media.amplience.net/s/whitestuff/442716-NAVY_PR-SET/1?fmt=auto&qlt=default&w=992,ANNIE JERSEY SHIRT MIDI DRESS,£65.00,£48.75,https://cdn.media.amplience.net/s/whitestuff/442716-NAVY_PR-SET/1?$swatch$&fmt=auto&default=20&w=68,,,,,,,,,,,,,,,annie jersey shirt midi dresshttps://cdn.media.amplience.net/s/whitestuff/442716-navy_pr-set/1?$swatch$&fmt=auto&default=20&w=68,,,annie jersey shirt midi dress
